,question,self,typical,game_type,selfType,typicalType,batch,subID,mode,psiturk_status,data_status,bonus
3,4,coop,def,SG,trust,none,batch7,8049,live,4,complete,0.18
0,1,coop,coop,SH,trust,none,batch7,8049,live,4,complete,0.18
1,2,coop,coop,HG,none,pess,batch7,8051,live,4,complete,0.7
2,3,coop,def,PD,none,pess,batch7,8051,live,4,complete,0.7
3,4,coop,coop,SG,none,pess,batch7,8051,live,4,complete,0.7
0,1,def,def,SH,none,pess,batch7,8051,live,4,complete,0.7
1,2,coop,coop,HG,none,trust,batch7,8052,live,4,complete,0.56
2,3,coop,coop,PD,none,trust,batch7,8052,live,4,complete,0.56
3,4,def,coop,SG,none,trust,batch7,8052,live,4,complete,0.56
0,1,coop,coop,SH,none,trust,batch7,8052,live,4,complete,0.56
1,2,coop,coop,HG,trust,none,batch7,8055,live,4,complete,0.22
2,3,coop,coop,PD,trust,none,batch7,8055,live,4,complete,0.22
3,4,coop,def,SG,trust,none,batch7,8055,live,4,complete,0.22
0,1,coop,coop,SH,trust,none,batch7,8055,live,4,complete,0.22
1,2,coop,coop,HG,trust,opt,batch7,8056,live,4,complete,0.44
2,3,coop,def,PD,trust,opt,batch7,8056,live,4,complete,0.44
3,4,coop,def,SG,trust,opt,batch7,8056,live,4,complete,0.44
0,1,coop,coop,SH,trust,opt,batch7,8056,live,4,complete,0.44
1,2,coop,def,HG,opt,none,batch7,8058,live,4,complete,0.27
2,3,def,coop,PD,opt,none,batch7,8058,live,4,complete,0.27
3,4,def,coop,SG,opt,none,batch7,8058,live,4,complete,0.27
0,1,coop,def,SH,opt,none,batch7,8058,live,4,complete,0.27
1,2,def,coop,HG,none,trust,batch7,8059,live,4,complete,0.54
2,3,def,coop,PD,none,trust,batch7,8059,live,4,complete,0.54
3,4,coop,coop,SG,none,trust,batch7,8059,live,4,complete,0.54
0,1,coop,coop,SH,none,trust,batch7,8059,live,4,complete,0.54
1,2,coop,coop,HG,none,none,batch7,8061,live,4,complete,0.63
2,3,coop,coop,PD,none,none,batch7,8061,live,4,complete,0.63
