,sub,subID,Block,Player,Type,Variant,Type_Total,Trial,S,T,GameType,Colors,CorrAns,GivenAns,ConfidenceNum,ScoreNum,RT_radio,RT_submit,SelfReport
144,5,2005,1,F.A.,opt,nat,opt_nat,0,0,12,PD,"['Yellow', 'Green']",def,coop,50.0,0,5536.0,11295.0,To choose green when the point disparity was high.
145,5,2005,1,F.A.,opt,nat,opt_nat,1,0,8,SH,"['Yellow', 'Green']",coop,coop,50.0,1,4385.0,7311.0,To choose green when the point disparity was high.
146,5,2005,1,F.A.,opt,nat,opt_nat,2,7,15,SG,"['Yellow', 'Green']",def,def,60.0,1,2875.0,6403.0,To choose green when the point disparity was high.
147,5,2005,1,F.A.,opt,nat,opt_nat,3,7,8,HG,"['Yellow', 'Green']",coop,coop,60.0,1,4501.0,8268.0,To choose green when the point disparity was high.
148,5,2005,1,F.A.,opt,nat,opt_nat,4,3,12,PD,"['Yellow', 'Green']",def,def,60.0,1,4051.0,7232.0,To choose green when the point disparity was high.
149,5,2005,1,F.A.,opt,nat,opt_nat,5,0,5,SH,"['Yellow', 'Green']",coop,coop,60.0,1,3911.0,11525.0,To choose green when the point disparity was high.
150,5,2005,1,F.A.,opt,nat,opt_nat,6,10,8,HG,"['Yellow', 'Green']",coop,coop,70.0,1,9275.0,12728.0,To choose green when the point disparity was high.
151,5,2005,1,F.A.,opt,nat,opt_nat,7,10,15,SG,"['Yellow', 'Green']",def,def,50.0,1,2459.0,9617.0,To choose green when the point disparity was high.
152,5,2005,1,F.A.,opt,nat,opt_nat,8,10,12,SG,"['Yellow', 'Green']",def,coop,60.0,0,4941.0,9558.0,To choose green when the point disparity was high.
153,5,2005,1,F.A.,opt,nat,opt_nat,9,0,15,PD,"['Yellow', 'Green']",def,def,80.0,1,2248.0,9578.0,To choose green when the point disparity was high.
154,5,2005,1,F.A.,opt,nat,opt_nat,10,10,5,HG,"['Yellow', 'Green']",coop,def,60.0,0,9191.0,11134.0,To choose green when the point disparity was high.
155,5,2005,1,F.A.,opt,nat,opt_nat,11,3,8,SH,"['Yellow', 'Green']",coop,coop,70.0,1,3076.0,5057.0,To choose green when the point disparity was high.
156,5,2005,1,F.A.,opt,nat,opt_nat,12,7,12,SG,"['Yellow', 'Green']",def,coop,70.0,0,5898.0,7891.0,To choose green when the point disparity was high.
157,5,2005,1,F.A.,opt,nat,opt_nat,13,3,15,PD,"['Yellow', 'Green']",def,def,80.0,1,3933.0,7535.0,To choose green when the point disparity was high.
158,5,2005,1,F.A.,opt,nat,opt_nat,14,3,5,SH,"['Yellow', 'Green']",coop,coop,90.0,1,4359.0,5747.0,To choose green when the point disparity was high.
159,5,2005,1,F.A.,opt,nat,opt_nat,15,7,5,HG,"['Yellow', 'Green']",coop,coop,80.0,1,3363.0,4859.0,To choose green when the point disparity was high.
160,5,2005,2,E.B.,pess,inv,pess_inv,0,3,12,PD,"['Green', 'Yellow']",coop,def,50.0,0,6932.0,10941.0,I don't know. I'm not sure they had a strategy at all.
161,5,2005,2,E.B.,pess,inv,pess_inv,1,7,8,HG,"['Green', 'Yellow']",def,coop,90.0,0,2265.0,4277.0,I don't know. I'm not sure they had a strategy at all.
162,5,2005,2,E.B.,pess,inv,pess_inv,2,3,8,SH,"['Green', 'Yellow']",coop,coop,40.0,1,2220.0,4428.0,I don't know. I'm not sure they had a strategy at all.
163,5,2005,2,E.B.,pess,inv,pess_inv,3,7,12,SG,"['Green', 'Yellow']",def,def,50.0,1,6511.0,7801.0,I don't know. I'm not sure they had a strategy at all.
164,5,2005,2,E.B.,pess,inv,pess_inv,4,0,15,PD,"['Green', 'Yellow']",coop,def,70.0,0,1828.0,3086.0,I don't know. I'm not sure they had a strategy at all.
165,5,2005,2,E.B.,pess,inv,pess_inv,5,0,8,SH,"['Green', 'Yellow']",coop,coop,60.0,1,2290.0,3862.0,I don't know. I'm not sure they had a strategy at all.
166,5,2005,2,E.B.,pess,inv,pess_inv,6,7,15,SG,"['Green', 'Yellow']",def,def,70.0,1,1718.0,2982.0,I don't know. I'm not sure they had a strategy at all.
167,5,2005,2,E.B.,pess,inv,pess_inv,7,7,5,HG,"['Green', 'Yellow']",def,coop,70.0,0,2118.0,5642.0,I don't know. I'm not sure they had a strategy at all.
168,5,2005,2,E.B.,pess,inv,pess_inv,8,3,15,PD,"['Green', 'Yellow']",coop,def,80.0,0,5361.0,6772.0,I don't know. I'm not sure they had a strategy at all.
169,5,2005,2,E.B.,pess,inv,pess_inv,9,0,5,SH,"['Green', 'Yellow']",coop,def,20.0,0,3152.0,5978.0,I don't know. I'm not sure they had a strategy at all.
170,5,2005,2,E.B.,pess,inv,pess_inv,10,10,5,HG,"['Green', 'Yellow']",def,coop,50.0,0,10223.0,11963.0,I don't know. I'm not sure they had a strategy at all.
171,5,2005,2,E.B.,pess,inv,pess_inv,11,10,15,SG,"['Green', 'Yellow']",def,def,70.0,1,7297.0,8664.0,I don't know. I'm not sure they had a strategy at all.
172,5,2005,2,E.B.,pess,inv,pess_inv,12,10,12,SG,"['Green', 'Yellow']",def,def,50.0,1,2639.0,6411.0,I don't know. I'm not sure they had a strategy at all.
173,5,2005,2,E.B.,pess,inv,pess_inv,13,0,12,PD,"['Green', 'Yellow']",coop,def,60.0,0,5717.0,7209.0,I don't know. I'm not sure they had a strategy at all.
174,5,2005,2,E.B.,pess,inv,pess_inv,14,3,5,SH,"['Green', 'Yellow']",coop,coop,70.0,1,2191.0,3594.0,I don't know. I'm not sure they had a strategy at all.
